534 1037 1114 
331 906 1149 
416 488 998 
20 512 884 
674 885 1273 
490 670 910 
560 811 866 
190 702 910 
668 797 876 
736 923 1247 
25 792 1239 
387 699 834 
133 283 988 
117 226 930 
76 810 1014 
340 772 1290 
453 690 851 
341 721 894 
586 1000 1065 
106 209 1133 
202 817 1009 
753 830 1250 
218 861 1305 
73 555 689 
67 172 1043 
57 807 1323 
670 891 960 
409 994 995 
312 755 957 
265 939 1061 
50 154 1087 
232 438 1029 
246 478 1033 
343 422 1291 
13 887 1176 
238 270 500 
142 819 1100 
382 1090 1188 
113 841 1069 
225 364 1042 
272 1135 1142 
927 997 1220 
34 429 1063 
77 511 1142 
323 509 1213 
1243 1258 1323 
650 826 930 
818 972 1196 
866 1068 1232 
960 1137 1220 
95 251 446 
154 743 886 
31 326 1146 
116 532 1029 
321 616 787 
106 552 807 
153 645 966 
258 1041 1212 
121 644 1106 
300 737 904 
411 531 585 
29 256 659 
237 331 465 
72 253 1199 
1076 1227 1253 
181 475 1070 
43 367 1263 
456 772 1289 
98 558 1157 
780 931 1189 
380 1023 1106 
636 669 1280 
347 783 990 
214 423 602 
26 265 677 
358 700 973 
34 86 561 
281 524 810 
105 482 1152 
835 1100 1261 
1 319 457 
244 819 994 
814 1052 1160 
243 469 828 
1185 1264 1312 
96 863 1049 
339 488 1211 
16 112 486 
619 707 728 
271 731 763 
93 277 1142 
143 424 996 
53 515 829 
1 622 964 
584 786 821 
69 538 983 
596 1133 1174 
307 481 1142 
532 812 1261 
10 668 1308 
62 473 560 
320 774 900 
567 872 1125 
479 991 1147 
576 721 800 
600 831 1012 
295 493 586 
400 634 1219 
818 821 881 
485 786 1228 
504 603 1015 
46 134 1039 
229 743 1246 
309 690 932 
554 689 1041 
245 657 771 
204 962 1159 
472 1114 1176 
372 406 1090 
460 606 778 
91 283 1025 
16 279 530 
697 715 1233 
251 266 928 
1158 1165 1268 
775 996 1007 
189 596 867 
364 399 1068 
45 474 897 
854 1009 1115 
140 590 651 
70 323 808 
874 1073 1137 
247 796 1033 
63 685 1016 
80 1018 1127 
430 793 1297 
270 1013 1301 
449 856 1032 
137 504 1257 
231 257 1037 
257 284 859 
209 496 1073 
250 738 916 
650 824 1007 
159 872 1258 
577 678 882 
387 745 832 
162 956 1084 
68 767 1202 
124 1165 1234 
620 776 965 
495 1016 1101 
171 326 811 
154 517 1172 
75 305 698 
1 218 829 
121 473 890 
130 142 822 
363 437 1087 
194 418 749 
308 906 1037 
248 855 875 
62 331 878 
59 194 1074 
375 437 449 
500 553 823 
779 923 989 
426 881 1202 
363 921 1321 
332 452 523 
666 1069 1076 
358 378 619 
188 339 354 
599 872 1201 
966 1093 1243 
319 475 542 
236 372 778 
394 433 604 
424 520 632 
6 799 1043 
130 776 1125 
38 488 1099 
227 758 1148 
382 1091 1170 
428 721 1270 
432 661 883 
675 683 775 
198 604 689 
344 607 826 
746 966 1131 
733 739 1209 
315 576 812 
523 897 934 
125 622 921 
202 325 854 
49 881 1064 
290 464 807 
432 737 861 
347 1225 1248 
601 660 1177 
447 953 969 
598 792 1305 
274 475 573 
1023 1112 1206 
11 357 363 
150 354 637 
653 760 1071 
768 995 1311 
138 1119 1153 
36 943 1120 
147 459 1272 
66 143 1140 
79 159 1276 
698 941 1315 
95 718 1195 
124 892 965 
137 427 1004 
48 876 984 
216 1041 1197 
322 882 907 
761 1122 1295 
356 1249 1315 
61 559 1228 
199 380 1280 
299 721 1169 
516 517 1160 
229 1102 1226 
176 1136 1183 
730 733 1026 
127 532 1253 
617 822 1167 
30 112 604 
302 448 734 
614 1307 1315 
177 451 968 
504 750 1004 
257 343 1182 
458 857 1238 
23 303 952 
202 385 548 
266 527 829 
165 508 1204 
245 737 1323 
203 344 959 
487 904 1265 
722 893 1120 
66 113 204 
199 383 842 
542 550 588 
224 281 471 
472 859 943 
203 251 1316 
268 499 987 
164 202 258 
232 764 793 
102 216 488 
116 542 782 
607 928 1088 
61 564 957 
582 1006 1277 
192 584 695 
131 297 810 
159 572 1038 
52 246 963 
271 647 711 
820 907 1263 
133 155 469 
592 597 765 
48 237 903 
